and;a
abacus;abakus
abacus;abakusa
abacus;abakusem
abacuses;abakusy
shade;abażur
Shade;abażura
lampshades;abażurach
shades;abażurami
lampshade;abażurem
lampshades;abażurów
lampshade;abażuru
lampshades;abażury
lampshade;abażurze
Abkhazian;abchascy
Abkhazian;abchaska
Abkhazian;abchaską
Abkhazian;abchaski
Abkhazian;abchaskich
Abkhazian;abchaskie
Abkhazian;abchaskiego
Abkhazian;abchaskiej
Abkhazian;abchaskim
Abkhazian;abchaskimi
Abkhazia;abchazja
Abkhazia;abchazją
Abkhazia;abchazję
abkhazia;abchazji
abdication;abdykacja
abdication;abdykacją
abdication;abdykacje
abdication;abdykację
abdication;abdykacji
abdicate;abdykować
abdicated;abdykowali
abdication;abdykowaliby
We are giving up;abdykowaliśmy
abdicated;abdykował
abdicated;abdykowała
abdicated;abdykowałam
abdicated;abdykowałem
abdication;abdykowanie
abdication;abdykowano
abdication;abdykowawszy
abdicate;abdykuj
give up;abdykują
giving up;abdykując
giving up;abdykująca
giving up;abdykującą
giving up;abdykujące
giving up;abdykującej
giving up;abdykujący
abdicating;abdykujących
gives up;abdykuje
gives up;abdykujecie
We give up;abdykujemy
You give up;abdykujesz
I give up;abdykuję
Alphabet;abecadeł
the alphabet;abecadle
alphabet;abecadła
Alphabet;abecadłem
alphabet;abecadło
aberration;aberracja
aberrations;aberracjach
aberrations;aberracjami
aberration;aberracją
aberrations;aberracje
aberration;aberrację
aberrations;aberracji
aberrations;aberracjom
subscription;abonamencie
subscription;abonament
subscriptions;abonamentach
subscriptions;abonamentami
subscription;abonamentem
subscriptions;abonamentom
subscription;abonamentowi
subscriptions;abonamentów
subscription;abonamentu
subscriptions;abonamenty
subscribers;abonenci
subscriber;abonencie
subscriber;abonent
subscriber;abonenta
subscribers;abonentach
subscribers;abonentami
subscriber;abonentem
subscribers;abonentom
subscriber;abonentowi
subscribers;abonentów
abortion;aborcja
abortions;aborcjach
abortions;aborcjami
abortion;aborcją
abortions;aborcje
abortion;aborcję
abortion;aborcji
abortions;aborcjom
Abraham;abrahama
Abraham;abrahamem
Abraham;abrahamie
Abraham;abrahamowi
Abraham;abrahamowie
Abraham;abrahamów
ABRAHAM;abrahamy
absolute;absolutna
absolute;absolutną
absolute;absolutne
absolute;absolutnego
absolute;absolutnej
absolute;absolutnemu
the absolute;absolutni
absolutely;absolutnie
absolute;absolutny
absolute;absolutnych
absolute;absolutnym
absolute;absolutnymi
graduates;absolwenci
graduate;absolwencie
graduate;absolwent
graduate;absolwenta
graduates;absolwentach
graduates;absolwentami
graduate;absolwentem
graduates;absolwentom
graduate;absolwentowi
graduates;absolwentów
absorb;absorbować
They were absorbing;absorbowali
absorption;absorbowaliby
He absorbed;absorbował
He absorbed;absorbowała
I absorbed;absorbowałam
I absorbed;absorbowałem
absorbed;absorbowało
absorb;absorbowałoby
absorbed;absorbowały
would absorb;absorbowałyby
absorbed;absorbowana
absorbed;absorbowaną
absorbed;absorbowane
absorbed;absorbowanego
