they will love;pokochają
you;cię
how;jak
son;syna
his;jego
mother;matka
she died;zmarła
when;kiedy
he had;miał
11;11
years;lat
they were;zostali
without;bez
father;ojca
parents;rodzice
him;go
beat;bili
is;jest
black;czarną
sheep;owcą
families;rodziny
They raised;wychowali
seven;siedmioro
adopted;adoptowanych
kids;dzieci
edgar;edgar
It was;był
baby;dzieckiem
when;kiedy
his;jego
father;ojciec
abandoned;porzucił
family;rodzinę
rarely;rzadko
seen;widywał
himself;się
that;ze
his;swoimi
parents;rodzicami
he had;miał
two;dwie
older;starsze
sisters;siostry
marriage;małżeństwo
was supposed to;miało
issues;problemy
from;od
early;początku
He knew;wiedziała
that;że
her;jej
place;miejsce
is;jest
at;przy
husband;mężu
their;ich
marriage;małżeństwo
withstand;wytrzymało
only;tylko
a few;kilka
years;lat
no;nie
he wanted;chciał
divorce;rozwieść
himself;się
with;z
wife;żoną
bake;pięć
years;lat
later;później
divorced;rozwiedli
himself;się
birth;urodziła
himself;się
in;w
the poor;biednej
country;wiejskiej
family;rodzinie
It has;ma
two;dwoje
kids;dzieci
with;z
first;pierwszego
marriages;małżeństwa
he had;miał
on;na
maintaining;utrzymaniu
seven;siedmioro
kids;dzieci
no;nie
He wanted;chciała
himself;się
divorce;rozwieść
couple;para
thick;grubo
settles;osiadała
on;na
shafts;szybach
every;każde
with;z
us;nas
went;poszło
on;na
up;górę
down;do
his;swojego
room;pokoju
image;obraz
hung;wisiał
above;nad
fireplace;kominkiem
chamber;izba
on;na
the bottom;dole
is;jest
lit.;oświetlona
in;w
small;niewielkiej
bleached;bielonej
chamber;izbie
I lived;zamieszkałem
together;razem
with;z
it;nim
in;w
windows;oknach
no;nie
it was;było
shaft;szyb
very;bardzo
heavy;ciężki
table;stół
polished;wypolerowany
through;przez
wear;zużycie
on;na
table;stole
is;leży
book;książka
door;drzwi
former;były
Open;otwarte
I looked;zajrzałem
through;przez
door;drzwi
down;do
large;dużego
room;pokoju
room;pokój
leaving;wychodził
on;na
yard;podwórze
my;moje
bed;łóżko
it was;było
sent;posłane
and;i
WITH A;przekryte
blanket;kocem
in;w
legs;nogach
bed;łóżka
steel;stał
my;mój
flat;płaski
trunk;kuferek
It was;był
this;to
beautiful;piękny
short;niski
massive;masywny
House;dom
with;z
stone;kamienia
in;w
room;pokoju
it was;było
dark;ciemno
door;drzwi
house;domu
former;były
Open;otwarte
so;więc
I walked;wszedłem
down;do
agent;środka
plaster;tynk
smashed;porozbijanych
houses;domów
It was;był
Gray;szary
and;i
wet;mokry
all;wszystkie
window;okna
former;były
closed;pozamykane
no;nie
It has;ma
forks;widelców
on;na
table;stole
constant;stały
lit;zapalone
candles;świece
all;wszystko
is;jest
on;na
his;swoim
place;miejscu
when;kiedy
himself;się
are performing;przeprowadzasz
They brought out;wyprowadzili
himself;się
hence;stąd
they brought;sprowadzili
himself;się
with;z
back;powrotem
They introduced;wprowadzili
himself;się
next to;obok
tomorrow;jutro
we have;musimy
himself;się
move out;wyprowadzić
lamp;lampa
hung;zwisała
with;z
ceiling;sufitu
blinds;rolety
former;były
raised;podniesione
they live;mieszkają
three;trzy
floors;piętra
above;nad
us;nami
table;stół
steel;stał
next door;tuż
at;przy
wall;ścianie
Shell we;możemy
rent;wynająć
House;dom
in;w
room;pokoju
It was;był
carpet;dywan
it was;było
this;to
awfully;strasznie
boring;nudne
every;każde
with;z
us;nas
went;poszło
on;na
up;górę
down;do
his;swojego
room;pokoju
He rested;oparł
hands;ręce
about;o
table;stół
He stood up;wstał
from;od
table;stołu
removed;zdjął
legs;nogi
that;ze
table;stołu
I went out;wyszedłem
on;na
street;ulicę
again;znowu
he looked;popatrzył
through;przez
window;okno
put;położył
to me;mi
hand;rękę
on;na
shoulder;ramieniu
brushed;strzepnął
gloves;rękawiczkami
about;o
edge;krawędź
bed;łóżka
removed;zdjął
gloves;rękawiczki
he;on
sit;siedzi
under;pod
wall;ścianą
with;z
bricks;cegieł
gone;poszedł
down;do
the kitchen;kuchni
slapped;klepnął
me;mnie
after;po
back;plecach
he wiped;otarł
hands;ręce
about;o
sweater;sweter
he wiped;otarł
mouth;usta
I have to;muszę
himself;się
wash;umyć
I have to;muszę
already;już
go;iść
anywhere;nigdzie
no;nie
I was;byłem
I looked;spojrzałem
on;na
my;mój
watch;zegarek
I sat;usiadłem
at;przy
table;stole
I sat;usiadłem
on;na
chair;krześle
I washed;umyłem
himself;się
combed;uczesałem
and;i
we went down;zeszliśmy
on;na
bottom;dół
I went out;wyszedłem
on;na
court;dwór
and;i
suddenly;nagle
I felt;poczułem
himself;się
lonely;samotny
I went;poszedłem
down;do
my;mojego
room;pokoju
in order to;żeby
himself;się
wash;umyć
we looked;popatrzyliśmy
on;na
each other;siebie
sat down;usiedliśmy
on;na
bench;ławce
and;i
I looked;przyjrzałem
himself;się
her;jej
sat down;usiedliśmy
on;na
flat;płaskiej
stone;kamiennej
bench;ławce
we were going;szliśmy
together;razem
through;przez
city;miasto
we passed;przeszliśmy
yet;jeszcze
piece;kawałek
and;i
we stood;stanęliśmy
under;pod
tree;drzewem
we go;pójdziemy
on;na
walk;spacer
and;i
we'll talk;pogadamy
go;idziemy
down;do
house;domu
wiping;wycierając
himself;się
towel;ręcznikiem
I've searched;rozglądałem
himself;się
after;po
room;pokoju
her;jej
favorite;ulubioną
activity;czynnością
is;jest
Housekeeping;sprzątanie
looked through;przeglądała
himself;się
in;w
the mirror;lustrze
removed;zdjęła
blankets;koce
with;z
bed;łóżka
carried away;wyniesiono
furniture;meble
with;z
room;pokoju
buried;pochowano
him;go
in;w
crypt;krypcie
under;pod
church;kościołem
I kept;trzymałem
himself;się
with;z
away;dala
from;od
cemetery;cmentarza
sat;siedziałem
on;na
this;tym
headstone;nagrobku
and;i
I looked;patrzyłem
on;na
sea;morze
dead;nieżywych
laid;układano
on;na
side;boku
memory;pamięć
about;o
it;nim
